Customer ID,Customer,Product ID,Category,Sub-Category,Amount spent,,,,
AG-0145,Shivani Sharma,FUR-BO-10001798,Furniture,Bookcases,"6,566",,,,
AG-0145,Shivani Sharma,FUR-CH-10000454,Furniture,Chairs,"27,591",,,,
AG-0145,Shivani Sharma,OFF-LA-10000240,Office Supplies,Labels,"77,362",,,,
AG-0145,Shivani Sharma,FUR-TA-10000577,Furniture,Tables,"78,221",,,,
AG-0145,Shivani Sharma,OFF-ST-10000760,Office Supplies,Storage,"80,943",,,Row Labels,Sum of Amount spent
AG-0145,Shivani Sharma,FUR-FU-10001487,Furniture,Furnishings,"78,780",,,Isha Roy,2461330
AG-0145,Shivani Sharma,OFF-AR-10002833,Office Supplies,Art,"89,385",,,Kiran Rao,2473076
AG-0189,Arjun Nagdev,TEC-PH-10002275,Technology,Phones,"3,824",,,Rishabh Rath,1929770
AG-0189,Arjun Nagdev,OFF-BI-10003910,Office Supplies,Binders,"20,686",,,Grand Total,6864176
AG-0189,Arjun Nagdev,OFF-AP-10002892,Office Supplies,Appliances,"24,720",,,,
AG-0189,Arjun Nagdev,FUR-TA-10001539,Furniture,Tables,"39,238",,,,
AG-0189,Arjun Nagdev,TEC-PH-10002033,Technology,Phones,"83,545",,,,
AG-0189,Arjun Nagdev,OFF-PA-10002365,Office Supplies,Paper,"29,586",,,,
AG-0189,Arjun Nagdev,OFF-BI-10003656,Office Supplies,Binders,"69,413",,,,
AG-0189,Arjun Nagdev,OFF-AP-10002311,Office Supplies,Appliances,"50,994",,,,
AG-0220,Sunil Anand,OFF-BI-10000756,Office Supplies,Binders,"26,970",,,,
AG-0220,Sunil Anand,OFF-ST-10004186,Office Supplies,Storage,"46,484",,,,
AG-0220,Sunil Anand,OFF-ST-10000107,Office Supplies,Storage,"88,573",,,,
AG-0220,Sunil Anand,OFF-AR-10003056,Office Supplies,Art,"71,416",,,,
AG-0220,Sunil Anand,TEC-PH-10001949,Technology,Phones,"3,280",,,,
AG-0220,Sunil Anand,OFF-BI-10002215,Office Supplies,Binders,"8,511",,,,
AG-0310,Devaang Patel,OFF-AR-10000246,Office Supplies,Art,"62,235",,,,
AG-0310,Devaang Patel,OFF-AP-10001492,Office Supplies,Appliances,"28,851",,,,
AG-0310,Devaang Patel,FUR-CH-10002774,Furniture,Chairs,"24,435",,,,
AG-0310,Devaang Patel,FUR-TA-10000577,Furniture,Tables,"12,426",,,,
AG-0310,Devaang Patel,OFF-BI-10001634,Office Supplies,Binders,"61,076",,,,
AG-0310,Devaang Patel,TEC-AC-10003027,Technology,Accessories,"32,666",,,,
AG-0310,Devaang Patel,FUR-BO-10004834,Furniture,Bookcases,"92,442",,,,
AG-0355,Sunil Agarwal,OFF-BI-10000474,Office Supplies,Binders,"12,019",,,,
AG-0355,Sunil Agarwal,FUR-FU-10004848,Furniture,Furnishings,"18,309",,,,
AG-0355,Sunil Agarwal,OFF-EN-10001509,Office Supplies,Envelopes,"28,703",,,,
AG-0355,Sunil Agarwal,OFF-AR-10004042,Office Supplies,Art,"5,436",,,,
AG-0355,Sunil Agarwal,OFF-BI-10001525,Office Supplies,Binders,"88,815",,,,
AG-0355,Sunil Agarwal,OFF-AR-10001683,Office Supplies,Art,"31,074",,,,
AG-0355,Sunil Agarwal,OFF-PA-10000249,Office Supplies,Paper,"97,373",,,,
AG-0409,Alia Goel,TEC-PH-10004977,Technology,Phones,"25,639",,,,
AG-0409,Alia Goel,FUR-FU-10003664,Furniture,Furnishings,"97,289",,,,
AG-0409,Alia Goel,OFF-EN-10002986,Office Supplies,Envelopes,"45,007",,,,
AG-0409,Alia Goel,FUR-BO-10002545,Furniture,Bookcases,"38,184",,,,
AG-0409,Alia Goel,FUR-CH-10004218,Furniture,Chairs,"23,638",,,,
AG-0409,Alia Goel,TEC-PH-10000486,Technology,Phones,"15,562",,,,
